"team","season","week","carries","rush_yards","rush_td","rush_fumble","qb_scramble","rush_20plus","rush_40plus","rush_longest","rush_stacked_box","yard_per_car","passing_yards","pass_td","ints","yac","sacks","completions","pass_20plus","pass_40plus","pass_longest","pass_against_blitz","pass_attempts","completion_pct","yds_per_att"
"GB",2023,15,27,99,0,0,0,1,0,22,9,3.7,381,4,0,182,5,22,9,1,52,8,28,0.786,13.6
"GB",2023,16,25,96,2,1,2,1,0,20,0,3.8,312,2,0,107,2,23,4,0,30,0,36,0.639,8.7
"GB",2023,17,16,67,0,0,2,0,0,9,1,4.2,180,1,1,97,4,18,2,0,21,9,32,0.562,5.6
"GB",2023,18,25,75,0,0,3,0,0,9,0,3,148,0,0,56,5,11,2,0,33,0,16,0.688,9.2
"GB",2023,2,45,211,1,0,5,0,0,19,7,4.7,237,1,1,105,1,19,4,1,45,17,32,0.594,7.4
"GB",2023,3,22,77,0,0,0,0,0,19,3,3.5,204,1,0,83,4,23,2,0,28,17,34,0.676,6
"GB",2023,4,43,211,3,0,1,1,1,40,10,4.9,210,1,1,96,2,19,5,0,35,10,28,0.679,7.5
"GB",2023,5,29,96,1,0,1,1,0,24,11,3.3,208,1,1,126,4,22,2,0,21,12,31,0.71,6.7
"GB",2023,7,25,145,0,0,1,3,0,23,9,5.8,194,1,0,88,1,20,1,0,33,10,29,0.69,6.7
"GB",2023,8,31,62,1,0,1,0,0,10,8,2,297,2,0,119,3,26,6,0,32,16,35,0.743,8.5
"GB",2023,9,26,68,0,0,3,0,0,8,3,2.6,130,0,1,48,1,13,1,0,34,7,28,0.464,4.6
"HOU",2023,1,32,110,3,1,5,0,0,14,4,3.4,169,0,1,84,4,17,3,0,29,8,22,0.773,7.7
"HOU",2023,10,16,66,1,0,3,0,0,17,1,4.1,347,2,2,163,4,27,5,2,64,7,40,0.675,8.7
"HOU",2023,11,25,123,1,0,4,1,0,22,4,4.9,214,1,1,102,3,20,2,1,48,11,30,0.667,7.1
"HOU",2023,12,30,81,1,0,0,1,0,20,6,2.7,364,1,1,210,0,23,5,4,57,10,38,0.605,9.6
"HOU",2023,13,30,118,1,0,6,0,0,16,2,3.9,186,1,3,88,3,15,3,2,45,1,26,0.577,7.2
"HOU",2023,14,26,79,1,1,2,0,0,15,6,3,301,2,0,138,4,27,5,0,27,13,36,0.75,8.4
"HOU",2023,15,30,66,1,0,3,0,0,11,1,2.2,199,0,1,47,7,17,5,0,37,8,26,0.654,7.7
"HOU",2023,16,30,54,2,0,0,0,0,10,0,1.8,374,3,2,115,1,28,6,2,75,0,44,0.636,8.5
"HOU",2023,17,21,53,0,0,0,0,0,16,0,2.5,184,0,0,110,6,18,2,0,32,0,26,0.692,7.1
"HOU",2023,18,37,227,1,0,1,2,1,49,0,6.1,141,0,0,61,1,13,2,0,28,0,24,0.542,5.9
"HOU",2023,2,23,126,3,0,2,0,0,18,2,5.5,227,1,0,137,0,25,2,1,43,9,33,0.758,6.9
"HOU",2023,3,27,116,1,0,3,0,0,16,5,4.3,288,1,1,142,0,29,3,0,28,8,42,0.69,6.9
"HOU",2023,4,25,114,0,1,1,1,0,23,2,4.6,132,0,1,90,3,18,1,0,32,3,28,0.643,4.7
"HOU",2023,5,36,96,1,2,1,0,0,13,17,2.7,351,1,0,133,0,29,6,0,32,6,38,0.763,9.2
"HOU",2023,6,25,89,0,0,0,0,0,13,8,3.6,357,1,1,113,2,33,3,1,51,19,51,0.647,7
"HOU",2023,8,24,44,0,0,3,0,0,8,5,1.8,235,1,0,121,6,22,3,1,40,13,31,0.71,7.6
"HOU",2023,9,31,81,2,0,2,0,0,16,4,2.6,265,2,0,114,2,21,4,1,53,4,30,0.7,8.8
"IND",2023,1,35,105,2,0,1,1,0,26,8,3,241,2,1,93,2,24,3,0,29,3,32,0.75,7.5
"IND",2023,10,36,167,0,0,2,0,0,15,5,4.6,195,0,2,138,5,18,2,0,30,5,27,0.667,7.2
"IND",2023,12,19,125,0,1,1,1,0,38,2,6.6,199,2,1,89,6,20,3,0,24,6,31,0.645,6.4
"IND",2023,13,42,177,2,1,1,1,0,22,5,4.2,224,1,0,117,6,16,4,0,39,10,33,0.485,6.8
"IND",2023,14,32,111,2,0,2,0,0,18,5,3.5,274,2,1,205,0,19,5,3,54,3,25,0.76,11
"IND",2023,15,24,74,1,1,0,0,0,15,4,3.1,172,1,2,50,4,18,1,0,25,1,26,0.692,6.6
"IND",2023,16,30,177,1,1,1,3,0,32,0,5.9,229,1,0,129,1,23,1,0,24,0,33,0.697,6.9
"IND",2023,17,25,84,0,0,0,0,0,9,0,3.4,299,2,0,112,2,30,2,0,24,0,47,0.638,6.4
"IND",2023,18,28,60,1,0,3,0,0,12,0,2.1,264,2,0,115,2,20,4,1,75,0,26,0.769,10.2
"IND",2023,2,26,52,0,1,1,0,0,10,5,2,384,2,0,123,6,30,7,0,32,8,47,0.638,8.2
"IND",2023,3,37,186,2,1,5,0,0,16,5,5,202,0,0,92,4,22,3,0,24,14,31,0.71,6.5
"IND",2023,4,36,164,2,1,2,1,0,20,0,4.6,319,1,1,114,2,27,6,0,33,8,40,0.675,8
"IND",2023,5,22,89,1,0,1,0,0,19,6,4,264,0,1,115,1,23,4,0,36,7,35,0.657,7.5
"IND",2023,6,29,85,2,0,2,1,0,22,8,2.9,181,2,1,96,3,20,1,0,29,6,30,0.667,6
"IND",2023,7,33,150,3,1,1,1,1,69,10,4.5,183,0,2,94,2,16,2,0,30,10,37,0.432,4.9
"IND",2023,8,36,161,3,0,1,1,0,20,5,4.5,354,2,0,138,1,20,5,3,58,9,29,0.69,12.2
"IND",2023,9,28,138,0,0,5,1,0,20,0,4.9,173,1,3,86,4,24,1,1,48,4,39,0.615,4.4
"JAX",2023,1,26,65,1,1,4,0,0,12,5,2.5,223,1,1,136,4,24,3,0,39,17,39,0.615,5.7
"JAX",2023,10,30,144,1,0,0,1,0,23,18,4.8,302,3,0,132,2,20,7,1,66,9,28,0.714,10.8
"JAX",2023,11,19,92,0,1,1,1,0,38,6,4.8,158,2,0,62,2,13,2,2,49,11,17,0.765,9.3
"JAX",2023,12,18,91,1,0,6,0,0,16,8,5.1,304,2,0,144,4,26,5,0,34,10,36,0.722,8.4
"JAX",2023,13,31,156,3,0,1,2,0,31,7,5,347,1,1,204,2,33,4,1,76,15,39,0.846,8.9
"JAX",2023,14,28,82,1,0,0,1,0,26,11,2.9,311,3,1,158,1,26,4,1,41,16,45,0.578,6.9
"JAX",2023,15,42,251,1,0,4,3,0,24,18,6,171,1,1,72,3,14,1,0,26,12,24,0.583,7.1
"JAX",2023,16,36,70,1,0,2,0,0,11,0,1.9,283,2,0,95,2,26,3,0,25,0,35,0.743,8.1
"JAX",2023,17,15,57,0,0,1,0,0,7,0,3.8,112,0,1,72,6,19,0,0,18,0,32,0.594,3.5
"JAX",2023,18,26,175,2,1,0,2,1,69,0,6.7,168,2,1,123,2,17,2,0,28,0,27,0.63,6.2
"JAX",2023,2,22,100,0,1,3,1,0,31,9,4.5,305,2,1,179,1,29,2,1,54,8,41,0.707,7.4
"JAX",2023,3,26,86,1,0,1,0,0,14,16,3.3,280,2,0,148,0,20,3,2,68,11,30,0.667,9.3
"JAX",2023,4,22,127,0,0,1,2,0,38,9,5.8,191,1,2,94,4,19,1,0,33,12,31,0.613,6.2
"JAX",2023,5,14,29,1,0,2,0,0,7,3,2.1,359,2,1,70,0,27,4,2,48,16,40,0.675,9
"JAX",2023,6,17,44,1,0,2,0,0,9,4,2.6,329,1,3,178,3,33,4,3,45,19,55,0.6,6
"JAX",2023,7,31,112,1,0,3,0,0,17,14,3.6,301,1,1,176,1,33,1,0,21,15,55,0.6,5.5
"JAX",2023,8,18,70,0,1,4,0,0,10,2,3.9,211,1,2,97,3,25,1,0,22,7,43,0.581,4.9
"KC",2023,1,34,118,1,1,0,0,0,18,7,3.5,253,1,0,109,1,22,4,0,33,14,35,0.629,7.2
"KC",2023,11,27,114,3,0,1,1,0,35,7,4.2,150,0,1,59,5,14,3,1,41,14,22,0.636,6.8
"KC",2023,12,23,123,1,0,0,1,1,63,1,5.3,248,1,0,145,1,23,2,0,33,17,34,0.676,7.3
"KC",2023,13,25,129,0,0,1,1,0,24,7,5.2,267,3,0,112,2,25,3,0,33,18,36,0.694,7.4
"KC",2023,14,28,118,1,0,4,0,0,15,5,4.2,233,1,1,147,3,23,4,0,27,18,42,0.548,5.5
"KC",2023,15,16,52,1,0,0,0,0,18,2,3.2,180,1,1,95,4,23,1,0,20,14,31,0.742,5.8
"KC",2023,16,29,157,0,0,0,1,1,43,8,5.4,62,0,0,37,2,9,1,0,21,8,21,0.429,3
"KC",2023,17,32,104,1,0,5,0,0,14,0,3.2,197,1,0,112,6,19,2,0,24,0,33,0.576,6
"KC",2023,18,30,118,0,1,7,0,0,18,0,3.9,258,0,0,181,3,28,2,0,25,0,47,0.596,5.5
"KC",2023,2,18,74,0,1,3,0,0,18,2,4.1,215,0,0,109,4,23,2,1,45,16,42,0.548,5.1
"KC",2023,3,26,116,0,0,4,0,0,17,2,4.5,99,1,1,40,3,11,1,0,29,10,22,0.5,4.5
"KC",2023,4,16,108,0,2,1,1,1,43,2,6.8,245,2,0,64,2,28,3,0,39,17,39,0.718,6.3
"KC",2023,5,18,70,0,1,0,0,0,15,1,3.9,284,2,0,137,3,29,2,0,27,24,47,0.617,6
"KC",2023,6,23,115,0,0,3,0,0,18,3,5,95,1,2,58,4,13,1,0,21,9,22,0.591,4.3
"KC",2023,7,26,139,1,0,1,1,1,49,3,5.3,259,1,2,95,5,17,5,1,60,8,30,0.567,8.6
